Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,ETANOL,20/06/2023,4.37,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,DIESEL S10,20/06/2023,5.29,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,GASOLINA ADITIVADA,20/06/2023,5.59,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,GASOLINA,20/06/2023,5.39,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,TRELRIUM COMERCIO DE COMBUSTIVEIS E CONVENIENCIA LTDA,10.762.584/0001-96,AVENIDA SILVA JARDIM,1210,,REBOUCAS,80250-200,ETANOL,21/06/2023,4.37,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,TRELRIUM COMERCIO DE COMBUSTIVEIS E CONVENIENCIA LTDA,10.762.584/0001-96,AVENIDA SILVA JARDIM,1210,,REBOUCAS,80250-200,DIESEL S10,21/06/2023,4.89,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,TRELRIUM COMERCIO DE COMBUSTIVEIS E CONVENIENCIA LTDA,10.762.584/0001-96,AVENIDA SILVA JARDIM,1210,,REBOUCAS,80250-200,GASOLINA ADITIVADA,21/06/2023,5.69,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,TRELRIUM COMERCIO DE COMBUSTIVEIS E CONVENIENCIA LTDA,10.762.584/0001-96,AVENIDA SILVA JARDIM,1210,,REBOUCAS,80250-200,GASOLINA,21/06/2023,5.59,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,ETANOL,27/06/2023,4.35,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,DIESEL S10,27/06/2023,4.92,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,GASOLINA ADITIVADA,27/06/2023,5.69,,R$ / litro,ON PETRO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JARDIM AMBIENTAL LTDA,02.799.756/0001-78,RUA ITUPAVA,1020,,ALTO DA RUA XV,80045-330,GASOLINA,27/06/2023,5.59,,R$ / litro,ON PETRO,2023-11-21
