Produto,Data da Coleta,Valor de Venda
ETANOL,13/01/2023,4.04
ETANOL,06/01/2023,4.13
ETANOL,16/01/2023,4.05
ETANOL,03/01/2023,4.19
ETANOL,20/01/2023,4.09
ETANOL,05/01/2023,4.1
ETANOL,12/01/2023,4.06
ETANOL,18/01/2023,4.07
ETANOL,04/01/2023,4.21
ETANOL,02/01/2023,4.15
ETANOL,09/01/2023,4.08
ETANOL,10/01/2023,4.18
ETANOL,17/01/2023,4.09
ETANOL,11/01/2023,4.14
ETANOL,24/01/2023,4.03
ETANOL,25/01/2023,3.96
ETANOL,19/01/2023,3.98
ETANOL,26/01/2023,3.99
ETANOL,23/01/2023,4.0
ETANOL,23/02/2023,4.02
ETANOL,09/02/2023,3.94
ETANOL,03/02/2023,4.39
ETANOL,17/02/2023,4.18
ETANOL,20/02/2023,3.96
ETANOL,13/02/2023,4.01
ETANOL,24/02/2023,4.0
ETANOL,22/02/2023,4.05
ETANOL,06/02/2023,3.98
ETANOL,14/02/2023,4.01
ETANOL,21/02/2023,4.0
ETANOL,02/02/2023,4.08
ETANOL,16/02/2023,3.95
ETANOL,15/02/2023,4.03
ETANOL,10/02/2023,4.45
ETANOL,07/02/2023,4.04
ETANOL,01/02/2023,4.06
ETANOL,08/02/2023,4.06
ETANOL,31/01/2023,4.01
ETANOL,30/01/2023,4.0
ETANOL,07/03/2023,4.19
ETANOL,10/03/2023,4.32
ETANOL,06/03/2023,4.09
ETANOL,02/03/2023,4.2
ETANOL,16/03/2023,4.14
ETANOL,20/03/2023,4.09
ETANOL,28/02/2023,4.06
ETANOL,15/03/2023,4.14
ETANOL,13/03/2023,4.14
ETANOL,09/03/2023,4.12
ETANOL,01/03/2023,4.12
ETANOL,27/02/2023,4.0
ETANOL,23/03/2023,4.03
ETANOL,17/03/2023,4.26
ETANOL,14/03/2023,4.13
ETANOL,08/03/2023,4.21
ETANOL,21/03/2023,4.2
ETANOL,03/03/2023,4.22
ETANOL,22/03/2023,4.14
ETANOL,27/03/2023,4.08
ETANOL,05/04/2023,4.18
ETANOL,28/03/2023,4.12
ETANOL,04/04/2023,4.13
ETANOL,13/04/2023,4.1
ETANOL,12/04/2023,4.12
ETANOL,14/04/2023,4.18
ETANOL,07/04/2023,4.56
ETANOL,29/03/2023,4.14
ETANOL,03/04/2023,4.05
ETANOL,11/04/2023,4.14
ETANOL,31/03/2023,4.12
ETANOL,24/03/2023,4.52
ETANOL,30/03/2023,4.05
ETANOL,10/04/2023,4.09
ETANOL,06/04/2023,4.04
ETANOL,18/04/2023,4.23
ETANOL,25/04/2023,4.27
ETANOL,02/05/2023,4.31
ETANOL,01/05/2023,4.28
ETANOL,24/04/2023,4.2
ETANOL,20/04/2023,4.15
ETANOL,28/04/2023,4.29
ETANOL,19/04/2023,4.2
ETANOL,03/05/2023,4.35
ETANOL,04/05/2023,4.26
ETANOL,26/04/2023,4.3
ETANOL,17/04/2023,4.12
ETANOL,27/04/2023,4.3
ETANOL,21/04/2023,4.12
ETANOL,05/05/2023,4.24
ETANOL,12/05/2023,4.06
ETANOL,24/05/2023,4.14
ETANOL,26/05/2023,3.86
ETANOL,08/05/2023,4.23
ETANOL,16/05/2023,4.22
ETANOL,10/05/2023,4.31
ETANOL,22/05/2023,4.03
ETANOL,15/05/2023,4.19
ETANOL,18/05/2023,4.09
ETANOL,23/05/2023,4.08
ETANOL,11/05/2023,4.2
ETANOL,09/05/2023,4.3
ETANOL,25/05/2023,4.01
ETANOL,17/05/2023,4.23
ETANOL,19/05/2023,4.05
ETANOL,16/06/2023,3.72
ETANOL,30/05/2023,4.08
ETANOL,05/06/2023,4.01
ETANOL,21/06/2023,4.02
ETANOL,20/06/2023,4.02
ETANOL,01/06/2023,3.83
ETANOL,23/06/2023,4.29
ETANOL,14/06/2023,4.08
ETANOL,07/06/2023,4.03
ETANOL,19/06/2023,3.94
ETANOL,08/06/2023,4.05
ETANOL,12/06/2023,3.99
ETANOL,13/06/2023,4.07
ETANOL,09/06/2023,3.98
ETANOL,02/06/2023,3.68
ETANOL,29/05/2023,3.98
ETANOL,15/06/2023,3.9
ETANOL,31/05/2023,4.12
ETANOL,06/06/2023,4.07
ETANOL,22/06/2023,3.98
ETANOL,30/06/2023,4.03
ETANOL,29/06/2023,3.97
ETANOL,27/06/2023,4.01
ETANOL,26/06/2023,3.96
ETANOL,28/06/2023,4.02
